185.216.140.186 - - [05/Jul/2024:00:06:55 +0900] "GET /ping.js HTTP/1.1" 404 815
87.121.69.27 - - [05/Jul/2024:00:12:38 +0900] "CONNECT google.com:443 HTTP/1.1" 501 756
127.0.0.1 - - [05/Jul/2024:00:20:51 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Jul/2024:00:20:51 +0900] "GET /xml-coffeeorderproject/ HTTP/1.1" 200 22726
0:0:0:0:0:0:0:1 - - [05/Jul/2024:00:20:51 +0900] "GET /coffeeorderproject/assets/js/core/jquery-3.7.1.js HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [05/Jul/2024:00:20:51 +0900] "GET /xml-coffeeorderproject/resources/userAssets/lib/lightbox/css/lightbox.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2024:00:20:51 +0900] "GET /xml-coffeeorderproject/resources/userAssets/img/hollys-brand-renewal-green.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2024:00:20:51 +0900] "GET /xml-coffeeorderproject/resources/userAssets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2024:00:20:51 +0900] "GET /xml-coffeeorderproject/resources/userAssets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2024:00:20:51 +0900] "GET /xml-coffeeorderproject/resources/userAssets/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2024:00:20:51 +0900] "GET /xml-coffeeorderproject/resources/userAssets/lib/easing/easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2024:00:20:51 +0900] "GET /xml-coffeeorderproject/resources/userAssets/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2024:00:20:51 +0900] "GET /xml-coffeeorderproject/resources/userAssets/lib/lightbox/js/lightbox.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2024:00:20:51 +0900] "GET /xml-coffeeorderproject/resources/userAssets/lib/waypoints/waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2024:00:20:52 +0900] "GET /xml-coffeeorderproject/resources/userAssets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2024:00:20:52 +0900] "GET /xml-coffeeorderproject/resources/userAssets/lib/lightbox/images/prev.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2024:00:20:52 +0900] "GET /xml-coffeeorderproject/resources/userAssets/lib/lightbox/images/close.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2024:00:20:52 +0900] "GET /xml-coffeeorderproject/resources/userAssets/lib/lightbox/images/loading.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2024:00:20:52 +0900] "GET /xml-coffeeorderproject/resources/userAssets/lib/lightbox/images/next.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2024:00:20:55 +0900] "GET /xml-coffeeorderproject/userAccount/login HTTP/1.1" 200 10240
0:0:0:0:0:0:0:1 - - [05/Jul/2024:00:20:55 +0900] "GET /xml-coffeeorderproject/resources/userAssets/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2024:00:21:09 +0900] "POST /xml-coffeeorderproject/userAccount/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2024:00:21:09 +0900] "GET /xml-coffeeorderproject/home HTTP/1.1" 200 23683
0:0:0:0:0:0:0:1 - - [05/Jul/2024:00:21:09 +0900] "GET /coffeeorderproject/assets/js/core/jquery-3.7.1.js HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [05/Jul/2024:00:21:16 +0900] "GET /xml-coffeeorderproject/board/review HTTP/1.1" 200 17969
0:0:0:0:0:0:0:1 - - [05/Jul/2024:00:21:16 +0900] "GET /coffeeorderproject/userAssets/img/cart-page-header-img.jpg HTTP/1.1" 404 878
